Category,Question,Answer,Category1,Question1,Answer1,Category2,Question2,Answer2
General,Juliet 'i melt with you' was which band's signature hit released on their 'after the snow' album in 1982,Modern english,General,The Norse god of light & peace,Balder,Science & Nature,What is the more scientific name for quicksilver?,Mercury
Geography,"""Honolulu"" means _____________",Sheltered harbor,General,What was the first day of the Roman month called,The calends,General,What did Alexander Graham Bell muffle to keep it from interrupting his work,His telephone the telephone telephone
General,How many gallons of fuel does a jumbo jet use during take off?,Four thousand,General,What is the unit of currency in Laos?,Kip,Entertainment,What is a violoncello usually called?,Cello
Sports & Leisure,In the game of cricket which bird name means scoring no runs ,Duck ,General,5:45 pm In military time is how many hours,1745,General,What sequence is this the start of: 1 4 11 20 31 44 61 100,Octal squares
Music,With which singer did Westlife record a version of Against all Odds in 2000?,Mariah Carey,General,In what sport are bacon hamburgers chips prunes spuds terms,Mountain Biking injury / damage,General,"According to the Talmud, who was the first wife of Adam",Lilith
 History & Holidays,"In 1951 Howard Hawks Produced The Thing. Who Directed The 1982 remake, Starring Kurt Russell ",John Carpenter ,Entertainment,Who was Barney Rubble's best friend?,Fred Flintstone,Science & Nature,Which Is The Most Sensitive Of The Senses ,Smell 
General,The Paris stock exchange,Bourse,General,Alfred Schneider became famous as who,Lenny Bruce, History & Holidays,What Is The Original Name For Halloween ,Samhain (pron) sow-en 
 History & Holidays,What amendment to the u.s. constitution ended prohibition ,The twenty first ,General,Burn to stop the flow of blood,Cauterize,General,What brand name did Galvin Manufacturing give to its line of radios for motorists,Motorola
General,What game of chance was originally called 'Beano',Bingo,Entertainment,"Who did a version of 'One Bourbon, One Scotch, One Beer' on his 1977 debut album?",George Thorogood,General,What does the acronym NIMBY mean,Not in my back yard
 History & Holidays,Where Did Napoleon Bonaparte Die In Exile? ,St Helena ,Geography,The United States would fit into the continent of ____________ three and a half times.,Africa,Science & Nature,What do the auricularis muscles move?,Ears
Food & Drink,The eggs of this sturgeon are the preferred form of caviar.,Beluga,General,What links Ada - Lisp - Algol,Program Languages,General,"What kind of dog was ""rin tin tin""",German shepherd
General,What is the motto of the three muskateers,All for one & one for all, Geography,The Ionian and Cyclades are island groups of which country?,Greece,General,"What links Sword, Square, Floral and Barn",Types of Dance
General,What is the flower that stands for: a heart ignorant of love,White rosebud,People & Places,What Was William Bonney Better Known As ,Billy The Kid ,General,"Of which fruit is ""pearmain"" a variety",Apple
General,What nationality was the sculpture Brancusi,Romanian,Geography,What Is The Most Westerly European Capital City ,"Lisbon In Portugal / Reykjavic In Iceland, It's Complex But I Think Iceland Has It You Decide ",General,What tragedy occurred two years to the day after the federal raid on the branch Davidian complex in Waco,Oklahoma city bombing
Toys & Games,"Charles Darrow based his game upon the 1904 ""The Landlord's Game"".",Monopoly,General,Melita in the Bible where Paul was shipwrecked is where today,Malta,Science & Nature," There are about 5,000 species of __________ known. Only about half of them build reefs.",Coral
General,"Who sang ""I Want My MTV"" on the Dire Straits song ""Money For Nothing""?",Sting,General,Remove forcibly or exile to another country,Deport,General,For which film did James Cagney win an oscar,Yankee doodle dandy
 History & Holidays,"What country did poinsettias originally come from? (Mexico,Us, Spain ,Brazil) ",Mexico ,General,The seventeen year locust is also know as a _____,Cicada,Entertainment,"Which brand of guitar is played by Jimmy Page, Slash, and Brian May?",Gibson Les Paul
Music,Who Starred As Cole Porter In The 1945 Film Night & Day,Cary Grant,General,The Chinese year cycle starts with 1st to ask Buddha which,Rat,General,"Which group sang the song ""All The Small Things""?",Blink 182
General,"Before Hitting The Big Time As A Singer & Tv Personality What Was ""Perry Como's "" Profession",A Barber / Hair Dresser,General,Countess Roza Marie Lubienski Is More Commonly Known As Who,Rula Lenska,General,Gymnophobia is the fear of __________.,Naked bodies
Music,What was finally a top ten hit for Ce Ce Peniston on its 1992 Re-Release,Finally,General,"Name the variety of brassica , whose thickened stem, resembling a turnip, is eaten as a vegetable",Kohlrabi,General,"American rocket engineer, born in Worcester, Massachusetts, & educated at Worcester Polytechnic Institute & Clark University",Goddard
